106;7
107;4
108;4
109;4
110;13
111;7
112;6
113;7
114;9
115;9
116;1
117;1
118;7
119;4
120;9
121;13
122;11
123;3
124;9
125;10
126;13
127;10
128;5
129;1
130;15
131;3
132;2
133;14
134;8
135;15
136;8
137;8
138;1
139;5
140;13
141;5
142;6
143;5
144;7
145;9
146;4
147;11
148;1
149;14
150;14
151;15
152;3
153;11
154;13
155;0
156;15
157;3
158;4
159;4
160;4
161;10
162;7
163;8
164;9
165;10
166;14
167;7
168;4
169;3
170;7
171;4
172;14
173;5
174;10
175;0
176;12
177;11
178;4
179;7
180;8
181;2
182;12
183;15
184;10
185;11
186;15
187;8
188;2
189;13
190;6
191;12
192;11
193;13
194;8
195;0
196;9
197;11
198;8
199;2
200;10
201;15
202;2
203;11
204;5
205;6
206;6
207;0
208;9
209;2
210;11
211;4
212;0
213;10
214;9
215;12
216;4
217;9
218;7
219;14
220;14
221;15
222;2
223;10
224;10
225;7
226;4
227;0
228;1
229;11
230;7
231;8
232;9
233;5
234;5
235;10
236;6
237;1
238;2
239;2
240;1
241;8
242;5
243;1
244;7
245;6
246;6
247;4
248;4
249;4
250;13
251;7
252;10
253;4
254;14
255;14
256;1
257;13
258;7
259;9
260;13
261;3
262;11
263;3
264;11
265;12
266;1
267;7
268;0
269;6
270;14
271;1
272;8
273;2
274;2
275;3
276;2
277;13
278;11
279;10
280;12
281;12
282;13
283;4
284;11
285;11
286;13
287;2
288;12
289;4
290;7
291;0
292;10
293;5
294;5
295;5
296;12
297;5
298;4
299;14
300;15
301;1
302;8
303;7
304;14
305;10
306;3
307;8
308;12
309;10
310;5
311;14
312;7
313;8
314;9
315;11
316;0
317;15
318;0
319;6
320;0
321;10
322;4
323;5
324;1
325;3
326;9
327;1
328;8
329;7
330;3
331;14
332;2
333;1
334;8
335;12
336;2
337;12
338;10
339;10
340;12
341;9
342;12
343;12
344;6
345;14
346;9
347;4
348;0
349;9
350;4
351;4
352;8
353;7
354;7
355;3
356;13
357;5
358;3
359;15
360;13
361;12
362;15
363;6
364;4
365;9
366;6
367;4
368;7
369;11
370;3
371;11
372;13
373;14
374;2
375;5
376;1
377;2
378;7
379;15
380;13
381;14
382;4
383;1
384;9
385;15
386;14
387;10
388;5
389;9
390;4
391;14
392;15
393;13
394;9
395;4
396;9
397;3
398;9
399;13
400;5
401;7
402;10
403;6
404;3
405;4
406;4
407;3
408;12
409;4
410;13
411;6
412;15
413;8
414;15
415;5
416;2
417;12
418;12
419;9
420;1
421;4
422;15
423;4
424;15
425;11
426;3
427;0
428;12
429;9
430;13
431;13
432;1
433;9
434;12
435;13
436;13
437;4
438;11
439;10
440;8
441;3
442;15
443;13
444;4
445;13
446;4
447;12
448;3
449;15
450;2
451;11
452;4
453;10
454;6
455;6
456;13
457;8
458;7
459;4
460;2
461;6
462;3
463;13
464;13
465;14
466;13
467;3
468;3
469;1
470;7
471;6
472;12
473;2
474;6
475;6
476;5
477;6
478;9
479;8
480;14
481;10
482;9
483;1
484;10
485;15
486;12
487;9
488;9
489;11
490;10
491;10
492;13
493;13
494;9
495;7
496;14
497;5
498;2
499;14
500;15
501;5
502;1
503;12
504;3
505;2
506;1
507;2
508;15
509;13
510;5
511;0
512;15
513;3
514;11
515;4
516;1
517;9
518;11
519;14
520;2
521;1
522;3
523;8
524;6
525;0
526;12
527;13
528;7
529;6
530;7
531;9
532;0
533;7
534;2
535;5
536;8
537;13
538;7
539;8
540;7
541;13
542;1
543;9
544;2
545;5
546;4
547;5
548;12
549;7
550;2
551;14
552;13
553;7
554;11
555;10
556;15
557;7
558;2
559;2
560;1
561;3
562;3
563;6
564;4
565;6
566;15
567;10
568;3
569;15
570;11
571;14
572;9
573;11
574;12
575;15
576;12
577;14
578;11
579;4
580;9
581;3
582;2
583;1
584;6
585;9
586;5
587;10
588;13
589;4
590;4
591;2
592;10
593;2
594;15
595;14
596;1
597;0
598;12
599;13
600;1
601;1
602;10
603;4
604;11
605;4
606;15
607;7
608;9
609;10
610;7
611;6
612;6
613;12
614;8
615;14
616;3
617;15
618;5
619;6
620;3
621;12
622;0
623;9
624;0
625;5
